content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
"Film nya itu2 aja film lama, rugi min udah bayar filmnya itu doank",1,2022-12-22 03:42:36,"Film nya itu2 aja film lama, rugi min udah bayar filmnya itu doank",film nya itu aja film lama rugi min udah bayar filmnya itu doank,"['film', 'nya', 'itu', 'aja', 'film', 'lama', 'rugi', 'min', 'udah', 'bayar', 'filmnya', 'itu', 'doank']",13,"['film', 'film', 'rugi', 'min', 'bayar', 'filmnya', 'doank']",7,"['film', 'film', 'rugi', 'min', 'bayar', 'film', 'doank']",film film rugi min bayar film doank,-8,1,Negatif
"Streamingnya bagus, biaya lebih terjangkau, daftar di perangkat manapun bisa, sekali pembayaran bisa terhubung ke semua perangkat tnpa ad paket pilihan,cukup hanya log in saja, kurangnya pilihan utk profil blum ad misal satu apk buat beberapa profil untuk anak n dewasa jadi bisa dipisah kayak netflix n untuk dewasa bisa dikunci diberi password tapi selebihnya bagus aj, oya disney Indonesia utk film yang mengarah ke lgbt lebih baik dihapus saja atau tidak usah ditayangkan..",5,2022-12-22 03:00:15,"Streamingnya bagus, biaya lebih terjangkau, daftar di perangkat manapun bisa, sekali pembayaran bisa terhubung ke semua perangkat tnpa ad paket pilihan,cukup hanya log in saja, kurangnya pilihan utk profil blum ad misal satu apk buat beberapa profil untuk anak n dewasa jadi bisa dipisah kayak netflix n untuk dewasa bisa dikunci diberi password tapi selebihnya bagus aj, oya disney Indonesia utk film yang mengarah ke lgbt lebih baik dihapus saja atau tidak usah ditayangkan..",streamingnya bagus biaya lebih terjangkau daftar di perangkat manapun bisa sekali pembayaran bisa terhubung ke semua perangkat tnpa ad paket pilihancukup hanya log in saja kurangnya pilihan utk profil blum ad misal satu apk buat beberapa profil untuk anak n dewasa jadi bisa dipisah kayak netflix n untuk dewasa bisa dikunci diberi password tapi selebihnya bagus aj oya disney indonesia utk film yang mengarah ke lgbt lebih baik dihapus saja atau tidak usah ditayangkan,"['streamingnya', 'bagus', 'biaya', 'lebih', 'terjangkau', 'daftar', 'di', 'perangkat', 'manapun', 'bisa', 'sekali', 'pembayaran', 'bisa', 'terhubung', 'ke', 'semua', 'perangkat', 'tnpa', 'ad', 'paket', 'pilihancukup', 'hanya', 'log', 'in', 'saja', 'kurangnya', 'pilihan', 'utk', 'profil', 'blum', 'ad', 'misal', 'satu', 'apk', 'buat', 'beberapa', 'profil', 'untuk', 'anak', 'n', 'dewasa', 'jadi', 'bisa', 'dipisah', 'kayak', 'netflix', 'n', 'untuk', 'dewasa', 'bisa', 'dikunci', 'diberi', 'password', 'tapi', 'selebihnya', 'bagus', 'aj', 'oya', 'disney', 'indonesia', 'utk', 'film', 'yang', 'mengarah', 'ke', 'lgbt', 'lebih', 'baik', 'dihapus', 'saja', 'atau', 'tidak', 'usah', 'ditayangkan']",74,"['streamingnya', 'biaya', 'terjangkau', 'daftar', 'perangkat', 'manapun', 'pembayaran', 'terhubung', 'perangkat', 'tnpa', 'ad', 'paket', 'pilihancukup', 'log', 'in', 'kurangnya', 'pilihan', 'utk', 'profil', 'blum', 'ad', 'apk', 'profil', 'anak', 'n', 'dewasa', 'dipisah', 'kayak', 'netflix', 'n', 'dewasa', 'dikunci', 'password', 'selebihnya', 'aj', 'oya', 'indonesia', 'utk', 'film', 'mengarah', 'lgbt', 'dihapus', 'ditayangkan']",43,"['streamingnya', 'biaya', 'jangkau', 'daftar', 'perangkat', 'mana', 'bayar', 'hubung', 'perangkat', 'tnpa', 'ad', 'paket', 'pilihancukup', 'log', 'in', 'kurang', 'pilih', 'utk', 'profil', 'blum', 'ad', 'apk', 'profil', 'anak', 'n', 'dewasa', 'pisah', 'kayak', 'netflix', 'n', 'dewasa', 'kunci', 'password', 'lebih', 'aj', 'oya', 'indonesia', 'utk', 'film', 'arah', 'lgbt', 'hapus', 'tayang']",streamingnya biaya jangkau daftar perangkat mana bayar hubung perangkat tnpa ad paket pilihancukup log in kurang pilih utk profil blum ad apk profil anak n dewasa pisah kayak netflix n dewasa kunci password lebih aj oya indonesia utk film arah lgbt hapus tayang,-15,1,Negatif
"Untuk saat ini, Disney lebih baik dari pada aplikasi streaming lainnya dan jarang terkendala",5,2022-12-22 01:52:18,"Untuk saat ini, Disney lebih baik dari pada aplikasi streaming lainnya dan jarang terkendala",untuk saat ini disney lebih baik dari pada aplikasi streaming lainnya dan jarang terkendala,"['untuk', 'saat', 'ini', 'disney', 'lebih', 'baik', 'dari', 'pada', 'aplikasi', 'streaming', 'lainnya', 'dan', 'jarang', 'terkendala']",14,"['streaming', 'jarang', 'terkendala']",3,"['streaming', 'jarang', 'kendala']",streaming jarang kendala,0,3,Netral
patah patah kayak 15fps,1,2022-12-22 01:17:53,patah patah kayak 15fps,patah patah kayak fps,"['patah', 'patah', 'kayak', 'fps']",4,"['patah', 'patah', 'kayak', 'fps']",4,"['patah', 'patah', 'kayak', 'fps']",patah patah kayak fps,-11,1,Negatif
Empettttttt taeeeee,1,2022-12-21 20:09:01,Empettttttttt taeeee,empettttttttt taeeee,"['empettttttttt', 'taeeee']",2,"['empettttttttt', 'taeeee']",2,"['empettttttttt', 'taeeee']",empettttttttt taeeee,0,3,Netral
"Saya sudah berlangganan dengan Telkomsel, tetapi tetap tidak dapat mengakses aplikasi dan menyuruh untuk berlangganan, saya sudah mengirim email tetapi tidak di respon",4,2022-12-21 16:20:14,"Saya sudah berlangganan dengan Telkomsel, tetapi tetap tidak dapat mengakses aplikasi dan menyuruh untuk berlangganan, saya sudah mengirim email tetapi tidak di respon",saya sudah berlangganan dengan telkomsel tetapi tetap tidak dapat mengakses aplikasi dan menyuruh untuk berlangganan saya sudah mengirim email tetapi tidak di respon,"['saya', 'sudah', 'berlangganan', 'dengan', 'telkomsel', 'tetapi', 'tetap', 'tidak', 'dapat', 'mengakses', 'aplikasi', 'dan', 'menyuruh', 'untuk', 'berlangganan', 'saya', 'sudah', 'mengirim', 'email', 'tetapi', 'tidak', 'di', 'respon']",23,"['berlangganan', 'telkomsel', 'mengakses', 'menyuruh', 'berlangganan', 'mengirim', 'email', 'respon']",8,"['langgan', 'telkomsel', 'akses', 'suruh', 'langgan', 'kirim', 'email', 'respon']",langgan telkomsel akses suruh langgan kirim email respon,8,5,Positif
Sering gak bisa di putar filmnya... Hadeh parah polll,2,2022-12-21 14:34:53,Sering gak bisa di putar filmnya... Hadeh parah polll,sering gak bisa di putar filmnya hadeh parah polll,"['sering', 'gak', 'bisa', 'di', 'putar', 'filmnya', 'hadeh', 'parah', 'polll']",9,"['putar', 'filmnya', 'hadeh', 'parah', 'polll']",5,"['putar', 'film', 'hadeh', 'parah', 'polll']",putar film hadeh parah polll,-9,1,Negatif
Gak bisa di buka!! Perbaiki dengan benar,1,2022-12-21 14:14:08,Gak bisa di buka!! Perbaiki dengan benar,gak bisa di buka perbaiki dengan benar,"['gak', 'bisa', 'di', 'buka', 'perbaiki', 'dengan', 'benar']",7,"['buka', 'perbaiki']",2,"['buka', 'baik']",buka baik,-4,1,Negatif
"Ada indikasi LGBT nya , saat antar anak ayam ke rumahnya , masa bapak n bapak , D serial TOTS season 02 eps 15",1,2022-12-21 12:16:50,"Ada indikasi LGBT nya , saat antar anak ayam ke rumahnya , masa bapak n bapak , D serial TOTS season 02 eps 15",ada indikasi lgbt nya saat antar anak ayam ke rumahnya masa bapak n bapak d serial tots season eps,"['ada', 'indikasi', 'lgbt', 'nya', 'saat', 'antar', 'anak', 'ayam', 'ke', 'rumahnya', 'masa', 'bapak', 'n', 'bapak', 'd', 'serial', 'tots', 'season', 'eps']",19,"['indikasi', 'lgbt', 'anak', 'ayam', 'rumahnya', 'n', 'd', 'serial', 'tots', 'season', 'eps']",11,"['indikasi', 'lgbt', 'anak', 'ayam', 'rumah', 'n', 'd', 'serial', 'tots', 'season', 'eps']",indikasi lgbt anak ayam rumah n d serial tots season eps,-2,2,Negatif
Mau daftar aja susah aplikasi apa ini,1,2022-12-21 11:54:14,Mau daftar aja susah aplikasi apa ini,mau daftar aja susah aplikasi apa ini,"['mau', 'daftar', 'aja', 'susah', 'aplikasi', 'apa', 'ini']",7,"['daftar', 'susah']",2,"['daftar', 'susah']",daftar susah,-6,1,Negatif
Ok...,5,2022-12-21 11:51:53,Oke...,oke,['oke'],1,['oke'],1,['oke'],oke,2,4,Positif
"Sudah Langganan tetapi saat aplikasi saya hapus dan ingin login kembali tidak bisa, karena otp tidak kunjung saya terima",1,2022-12-21 11:37:43,"Sudah Langganan tetapi saat aplikasi saya hapus dan ingin login kembali tidak bisa, karena otp tidak kunjung saya terima",sudah langganan tetapi saat aplikasi saya hapus dan ingin login kembali tidak bisa karena otp tidak kunjung saya terima,"['sudah', 'langganan', 'tetapi', 'saat', 'aplikasi', 'saya', 'hapus', 'dan', 'ingin', 'login', 'kembali', 'tidak', 'bisa', 'karena', 'otp', 'tidak', 'kunjung', 'saya', 'terima']",19,"['langganan', 'hapus', 'login', 'otp', 'kunjung', 'terima']",6,"['langgan', 'hapus', 'login', 'otp', 'kunjung', 'terima']",langgan hapus login otp kunjung terima,-2,2,Negatif
"Filmya bagus, harganya lebih murah daripada sebelah, Beli Paket yg 1th, sebulan make lancar, giliran bulan ke dua pas di buka aplikasinya tau2 ada notif ""Anda menggunakan VPN"" Lah kocak, padahal punya VPN juga enggak,apalagi make VPN, sampe sekarang nggak bisa dibuka, gajelas banget.",1,2022-12-21 11:08:34,"Filmya bagus, harganya lebih murah daripada sebelah, Beli Paket yg 1th, sebulan make lancar, giliran bulan ke dua pas di buka aplikasinya tau2 ada notif ""Anda menggunakan VPN"" Lah kocak, padahal punya VPN juga enggak,apalagi make VPN, sampe sekarang nggak bisa dibuka, gajelas banget.",filmya bagus harganya lebih murah daripada sebelah beli paket yg th sebulan make lancar giliran bulan ke dua pas di buka aplikasinya tau ada notif anda menggunakan vpn lah kocak padahal punya vpn juga enggakapalagi make vpn sampe sekarang nggak bisa dibuka gajelas banget,"['filmya', 'bagus', 'harganya', 'lebih', 'murah', 'daripada', 'sebelah', 'beli', 'paket', 'yg', 'th', 'sebulan', 'make', 'lancar', 'giliran', 'bulan', 'ke', 'dua', 'pas', 'di', 'buka', 'aplikasinya', 'tau', 'ada', 'notif', 'anda', 'menggunakan', 'vpn', 'lah', 'kocak', 'padahal', 'punya', 'vpn', 'juga', 'enggakapalagi', 'make', 'vpn', 'sampe', 'sekarang', 'nggak', 'bisa', 'dibuka', 'gajelas', 'banget']",44,"['filmya', 'harganya', 'murah', 'sebelah', 'beli', 'paket', 'th', 'sebulan', 'make', 'lancar', 'giliran', 'buka', 'aplikasinya', 'tau', 'notif', 'vpn', 'kocak', 'vpn', 'enggakapalagi', 'make', 'vpn', 'sampe', 'nggak', 'dibuka', 'gajelas']",25,"['filmya', 'harga', 'murah', 'belah', 'beli', 'paket', 'th', 'bulan', 'make', 'lancar', 'gilir', 'buka', 'aplikasi', 'tau', 'notif', 'vpn', 'kocak', 'vpn', 'enggakapalagi', 'make', 'vpn', 'sampe', 'nggak', 'buka', 'gajelas']",filmya harga murah belah beli paket th bulan make lancar gilir buka aplikasi tau notif vpn kocak vpn enggakapalagi make vpn sampe nggak buka gajelas,-25,1,Negatif
Pakai Disney sudah 2 tahun tapi ini ada apa malah suru bayar lgi. Kirain cuma sekali bayarnya,1,2022-12-21 08:50:32,Pakai Disney sudah 2 tahun tapi ini ada apa malah suru bayar lgi. Kirain cuma sekali bayarnya,pakai disney sudah tahun tapi ini ada apa malah suru bayar lgi kirain cuma sekali bayarnya,"['pakai', 'disney', 'sudah', 'tahun', 'tapi', 'ini', 'ada', 'apa', 'malah', 'suru', 'bayar', 'lgi', 'kirain', 'cuma', 'sekali', 'bayarnya']",16,"['pakai', 'suru', 'bayar', 'lgi', 'kirain', 'bayarnya']",6,"['pakai', 'suru', 'bayar', 'lgi', 'kirain', 'bayar']",pakai suru bayar lgi kirain bayar,-6,1,Negatif
"Error pl 1001 gak bisa muter film, padahal udah berlangganan, sia2 uang gue",1,2022-12-21 06:52:23,"Kesalahan PL 1001 tidak bisa menjadi film, tapi sudah lama, itu sepadan",kesalahan pl tidak bisa menjadi film tapi sudah lama itu sepadan,"['kesalahan', 'pl', 'tidak', 'bisa', 'menjadi', 'film', 'tapi', 'sudah', 'lama', 'itu', 'sepadan']",11,"['kesalahan', 'pl', 'film', 'sepadan']",4,"['salah', 'pl', 'film', 'padan']",salah pl film padan,-4,1,Negatif
"Sejak update , video tidak bisa diputar sama sekali di S6 tab , di hp bisa putar , sudah infokan semua hal yg diminta cs disney bernama putri namun tidak ada balasan atau solusi . Biasanya nonton lancar di tab S6",2,2022-12-21 06:21:31,"Sejak update , video tidak bisa diputar sama sekali di S6 tab , di hp bisa putar , sudah infokan semua hal yg diminta cs disney bernama putri namun tidak ada balasan atau solusi . Biasanya nonton lancar di tab S6",sejak update video tidak bisa diputar sama sekali di s tab di hp bisa putar sudah infokan semua hal yg diminta cs disney bernama putri namun tidak ada balasan atau solusi biasanya nonton lancar di tab s,"['sejak', 'update', 'video', 'tidak', 'bisa', 'diputar', 'sama', 'sekali', 'di', 's', 'tab', 'di', 'hp', 'bisa', 'putar', 'sudah', 'infokan', 'semua', 'hal', 'yg', 'diminta', 'cs', 'disney', 'bernama', 'putri', 'namun', 'tidak', 'ada', 'balasan', 'atau', 'solusi', 'biasanya', 'nonton', 'lancar', 'di', 'tab', 's']",37,"['update', 'video', 'diputar', 's', 'tab', 'hp', 'putar', 'infokan', 'cs', 'bernama', 'putri', 'balasan', 'solusi', 'nonton', 'lancar', 'tab', 's']",17,"['update', 'video', 'putar', 's', 'tab', 'hp', 'putar', 'info', 'cs', 'nama', 'putri', 'balas', 'solusi', 'nonton', 'lancar', 'tab', 's']",update video putar s tab hp putar info cs nama putri balas solusi nonton lancar tab s,-5,1,Negatif
"Video qualitynya gak berfungsi, udah atur ke kualitas tinggi tetep burem banget",2,2022-12-21 03:11:00,"Video qualitynya gak berfungsi, udah atur ke kualitas tinggi tetep burem banget",video qualitynya gak berfungsi udah atur ke kualitas tinggi tetep burem banget,"['video', 'qualitynya', 'gak', 'berfungsi', 'udah', 'atur', 'ke', 'kualitas', 'tinggi', 'tetep', 'burem', 'banget']",12,"['video', 'qualitynya', 'berfungsi', 'atur', 'kualitas', 'tetep', 'burem']",7,"['video', 'qualitynya', 'fungsi', 'atur', 'kualitas', 'tetep', 'burem']",video qualitynya fungsi atur kualitas tetep burem,0,3,Netral
Movie action,5,2022-12-21 02:02:45,Aksi film,aksi film,"['aksi', 'film']",2,"['aksi', 'film']",2,"['aksi', 'film']",aksi film,2,4,Positif
amphibia 4 episode lagi lama banget updatenya padahal udah tamat,5,2022-12-21 00:42:03,amphibia 4 episode lagi lama banget updatenya padahal udah tamat,amphibia episode lagi lama banget updatenya padahal udah tamat,"['amphibia', 'episode', 'lagi', 'lama', 'banget', 'updatenya', 'padahal', 'udah', 'tamat']",9,"['amphibia', 'episode', 'updatenya', 'tamat']",4,"['amphibia', 'episode', 'updatenya', 'tamat']",amphibia episode updatenya tamat,-4,1,Negatif
"Cara Telkomsel meraih keuntungan yaa dengan nipu. Udah beli kuota multimedia tapi tetap gabisa di pake, yg kepake malah kuota utama. Setelah kuota utama habis udah gitu aja gabisa nonton lagi, terus kuota multimedia nya buat apa? 🙂🙂",1,2022-12-20 22:51:13,"Cara Telkomsel meraih keuntungan yaa dengan nipu. Udah beli kuota multimedia tapi tetap gabisa di pake, yg kepake malah kuota utama. Setelah kuota utama habis udah gitu aja gabisa nonton lagi, terus kuota multimedia nya buat apa? 🙂🙂",cara telkomsel meraih keuntungan yaa dengan nipu udah beli kuota multimedia tapi tetap gabisa di pake yg kepake malah kuota utama setelah kuota utama habis udah gitu aja gabisa nonton lagi terus kuota multimedia nya buat apa 🙂🙂,"['cara', 'telkomsel', 'meraih', 'keuntungan', 'yaa', 'dengan', 'nipu', 'udah', 'beli', 'kuota', 'multimedia', 'tapi', 'tetap', 'gabisa', 'di', 'pake', 'yg', 'kepake', 'malah', 'kuota', 'utama', 'setelah', 'kuota', 'utama', 'habis', 'udah', 'gitu', 'aja', 'gabisa', 'nonton', 'lagi', 'terus', 'kuota', 'multimedia', 'nya', 'buat', 'apa', '🙂🙂']",38,"['telkomsel', 'meraih', 'keuntungan', 'yaa', 'nipu', 'beli', 'kuota', 'multimedia', 'gabisa', 'pake', 'kepake', 'kuota', 'utama', 'kuota', 'utama', 'habis', 'gitu', 'gabisa', 'nonton', 'kuota', 'multimedia', '🙂🙂']",22,"['telkomsel', 'raih', 'untung', 'yaa', 'nipu', 'beli', 'kuota', 'multimedia', 'gabisa', 'pake', 'kepake', 'kuota', 'utama', 'kuota', 'utama', 'habis', 'gitu', 'gabisa', 'nonton', 'kuota', 'multimedia', '']",telkomsel raih untung yaa nipu beli kuota multimedia gabisa pake kepake kuota utama kuota utama habis gitu gabisa nonton kuota multimedia ,-13,1,Negatif
Dri kemarin ga ada spiderman no way home..,3,2022-12-20 14:22:58,Dri kemarin ga ada spiderman no way home..,dri kemarin ga ada spiderman no way home,"['dri', 'kemarin', 'ga', 'ada', 'spiderman', 'no', 'way', 'home']",8,"['dri', 'kemarin', 'spiderman', 'no', 'way', 'home']",6,"['dri', 'kemarin', 'spiderman', 'no', 'way', 'home']",dri kemarin spiderman no way home,0,3,Netral
"while watching the resolution often changes to low, please fix it",1,2022-12-20 09:30:05,"Saat menonton resolusi sering berubah menjadi rendah, harap perbaiki",saat menonton resolusi sering berubah menjadi rendah harap perbaiki,"['saat', 'menonton', 'resolusi', 'sering', 'berubah', 'menjadi', 'rendah', 'harap', 'perbaiki']",9,"['menonton', 'resolusi', 'berubah', 'rendah', 'harap', 'perbaiki']",6,"['tonton', 'resolusi', 'ubah', 'rendah', 'harap', 'baik']",tonton resolusi ubah rendah harap baik,-10,1,Negatif
Saya tidak dapat memasuki aplikasi dan loading yang sangat lama dengan jaringan internet yang lancar,2,2022-12-20 06:40:37,Saya tidak dapat memasuki aplikasi dan loading yang sangat lama dengan jaringan internet yang lancar,saya tidak dapat memasuki aplikasi dan loading yang sangat lama dengan jaringan internet yang lancar,"['saya', 'tidak', 'dapat', 'memasuki', 'aplikasi', 'dan', 'loading', 'yang', 'sangat', 'lama', 'dengan', 'jaringan', 'internet', 'yang', 'lancar']",15,"['memasuki', 'loading', 'jaringan', 'internet', 'lancar']",5,"['pasuk', 'loading', 'jaring', 'internet', 'lancar']",pasuk loading jaring internet lancar,-2,2,Negatif
Oke,5,2022-12-20 06:35:09,Oke,oke,['oke'],1,['oke'],1,['oke'],oke,2,4,Positif
"Burik, dibuka keluarnya UPSS...matamu",1,2022-12-20 05:35:18,"Burik, dibuka keluarnya UPSS...matamu",burik dibuka keluarnya upssmatamu,"['burik', 'dibuka', 'keluarnya', 'upssmatamu']",4,"['burik', 'dibuka', 'keluarnya', 'upssmatamu']",4,"['burik', 'buka', 'keluar', 'upssmatamu']",burik buka keluar upssmatamu,-6,1,Negatif
Kenapa gabisa login ke tv ya?,1,2022-12-20 05:33:51,Kenapa gabisa login ke tv ya?,kenapa gabisa login ke tv ya,"['kenapa', 'gabisa', 'login', 'ke', 'tv', 'ya']",6,"['gabisa', 'login', 'tv']",3,"['gabisa', 'login', 'tv']",gabisa login tv,0,3,Netral
Bagus banget aku suka,5,2022-12-20 05:02:50,Bagus banget aku suka,bagus banget aku suka,"['bagus', 'banget', 'aku', 'suka']",4,['suka'],1,['suka'],suka,-1,3,Netral
Harus di tambahin fitur buat masuk code ke tv biar kayak apk sebelah,5,2022-12-20 02:52:19,Harus ditambahkan ke fitur untuk mendapatkan kode ke TV agar tidak pergi berikutnya,harus ditambahkan ke fitur untuk mendapatkan kode ke tv agar tidak pergi berikutnya,"['harus', 'ditambahkan', 'ke', 'fitur', 'untuk', 'mendapatkan', 'kode', 'ke', 'tv', 'agar', 'tidak', 'pergi', 'berikutnya']",13,"['fitur', 'kode', 'tv', 'pergi']",4,"['fitur', 'kode', 'tv', 'pergi']",fitur kode tv pergi,-6,1,Negatif
Keren,5,2022-12-20 01:27:28,Keren,keren,['keren'],1,['keren'],1,['keren'],keren,0,3,Netral
Ok,5,2022-12-19 14:27:12,Oke,oke,['oke'],1,['oke'],1,['oke'],oke,2,4,Positif
"Udah langganan malah bug, ga bisa nonton.. Kyk nipuu aja",1,2022-12-19 11:50:29,"Itu adalah subset bahkan bug, jadi saya bisa menontonnya .. kyk nipuu",itu adalah subset bahkan bug jadi saya bisa menontonnya kyk nipuu,"['itu', 'adalah', 'subset', 'bahkan', 'bug', 'jadi', 'saya', 'bisa', 'menontonnya', 'kyk', 'nipuu']",11,"['subset', 'bug', 'menontonnya', 'kyk', 'nipuu']",5,"['subset', 'bug', 'tonton', 'kyk', 'nipuu']",subset bug tonton kyk nipuu,-4,1,Negatif
"Kadang error, kadang buat hp ngeframe , kadang loading doang lama, hadehhhh",1,2022-12-19 10:26:44,"Kadang error, kadang buat hp ngeframe , kadang loading doang lama, hadehhhh",kadang error kadang buat hp ngeframe kadang loading doang lama hadehhhh,"['kadang', 'error', 'kadang', 'buat', 'hp', 'ngeframe', 'kadang', 'loading', 'doang', 'lama', 'hadehhhh']",11,"['kadang', 'error', 'kadang', 'hp', 'ngeframe', 'kadang', 'loading', 'doang', 'hadehhhh']",9,"['kadang', 'error', 'kadang', 'hp', 'ngeframe', 'kadang', 'loading', 'doang', 'hadehhhh']",kadang error kadang hp ngeframe kadang loading doang hadehhhh,3,4,Positif
"Fitur nya sangat sedikit sesimpel ngasih judul film di beranda aja nggak ada, mengunduh di kartu eksternal juga nggak ada",1,2022-12-18 20:04:12,"Fitur nya sangat sedikit sesimpel ngasih judul film di beranda aja nggak ada, mengunduh di kartu eksternal juga nggak ada",fitur nya sangat sedikit sesimpel ngasih judul film di beranda aja nggak ada mengunduh di kartu eksternal juga nggak ada,"['fitur', 'nya', 'sangat', 'sedikit', 'sesimpel', 'ngasih', 'judul', 'film', 'di', 'beranda', 'aja', 'nggak', 'ada', 'mengunduh', 'di', 'kartu', 'eksternal', 'juga', 'nggak', 'ada']",20,"['fitur', 'sesimpel', 'ngasih', 'judul', 'film', 'beranda', 'nggak', 'mengunduh', 'kartu', 'eksternal', 'nggak']",11,"['fitur', 'simpel', 'ngasih', 'judul', 'film', 'beranda', 'nggak', 'unduh', 'kartu', 'eksternal', 'nggak']",fitur simpel ngasih judul film beranda nggak unduh kartu eksternal nggak,-6,1,Negatif
"Kalau ga niat buat apk, please hapus aja. Bikin rusak HP, gimana developerny ini?!?!? Rusak parahh,, HP gw blank 1 jam sat😕",1,2022-12-18 14:04:25,"Kalau ga niat buat apk, please hapus aja. Bikin rusak HP, gimana developerny ini?!?!? Rusak parahh,, HP gw blank 1 jam sat😕",kalau ga niat buat apk please hapus aja bikin rusak hp gimana developerny ini rusak parahh hp gw blank jam sat😕,"['kalau', 'ga', 'niat', 'buat', 'apk', 'please', 'hapus', 'aja', 'bikin', 'rusak', 'hp', 'gimana', 'developerny', 'ini', 'rusak', 'parahh', 'hp', 'gw', 'blank', 'jam', 'sat😕']",21,"['niat', 'apk', 'please', 'hapus', 'bikin', 'rusak', 'hp', 'gimana', 'developerny', 'rusak', 'parahh', 'hp', 'gw', 'blank', 'jam', 'sat😕']",16,"['niat', 'apk', 'please', 'hapus', 'bikin', 'rusak', 'hp', 'gimana', 'developerny', 'rusak', 'parahh', 'hp', 'gw', 'blank', 'jam', 'sat']",niat apk please hapus bikin rusak hp gimana developerny rusak parahh hp gw blank jam sat,-14,1,Negatif
kenapa saya tidak bisa login ke tv android box,2,2022-12-18 13:43:50,kenapa saya tidak bisa login ke tv android box,kenapa saya tidak bisa login ke tv android box,"['kenapa', 'saya', 'tidak', 'bisa', 'login', 'ke', 'tv', 'android', 'box']",9,"['login', 'tv', 'android', 'box']",4,"['login', 'tv', 'android', 'box']",login tv android box,0,3,Netral
Coba subtitle nya dibawah semua. Jangan atas bawah bikin sakit mata,2,2022-12-18 13:38:11,Coba subtitle nya dibawah semua. Jangan atas bawah bikin sakit mata,coba subtitle nya dibawah semua jangan atas bawah bikin sakit mata,"['coba', 'subtitle', 'nya', 'dibawah', 'semua', 'jangan', 'atas', 'bawah', 'bikin', 'sakit', 'mata']",11,"['coba', 'subtitle', 'dibawah', 'bikin', 'sakit', 'mata']",6,"['coba', 'subtitle', 'bawah', 'bikin', 'sakit', 'mata']",coba subtitle bawah bikin sakit mata,-8,1,Negatif
Tolong diperbaiki setingan full screen untuk tablet,1,2022-12-18 13:20:14,Tolong diperbaiki setingan full screen untuk tablet,tolong diperbaiki setingan full screen untuk tablet,"['tolong', 'diperbaiki', 'setingan', 'full', 'screen', 'untuk', 'tablet']",7,"['diperbaiki', 'setingan', 'full', 'screen', 'tablet']",5,"['baik', 'ting', 'full', 'screen', 'tablet']",baik ting full screen tablet,-1,3,Netral
Baguss... aplikasi legal yang lengkap film Marvel,5,2022-12-18 12:45:57,Baguss... aplikasi legal yang lengkap film Marvel,baguss aplikasi legal yang lengkap film marvel,"['baguss', 'aplikasi', 'legal', 'yang', 'lengkap', 'film', 'marvel']",7,"['baguss', 'legal', 'lengkap', 'film', 'marvel']",5,"['baguss', 'legal', 'lengkap', 'film', 'marvel']",baguss legal lengkap film marvel,-3,2,Negatif
"Aplikasinya kok jadi gini sih, biasanya aman2 aja selama make. Tampilan home jadi chanel2 india trus Tolong segera diperbaiki 🙏",2,2022-12-18 12:25:56,"Aplikasinya kok jadi gini sih, biasanya aman2 aja selama make. Tampilan home jadi chanel2 india trus Tolong segera diperbaiki 🙏",aplikasinya kok jadi gini sih biasanya aman aja selama make tampilan home jadi chanel india trus tolong segera diperbaiki 🙏,"['aplikasinya', 'kok', 'jadi', 'gini', 'sih', 'biasanya', 'aman', 'aja', 'selama', 'make', 'tampilan', 'home', 'jadi', 'chanel', 'india', 'trus', 'tolong', 'segera', 'diperbaiki', '🙏']",20,"['aplikasinya', 'gini', 'sih', 'aman', 'make', 'tampilan', 'home', 'chanel', 'india', 'trus', 'diperbaiki', '🙏']",12,"['aplikasi', 'gin', 'sih', 'aman', 'make', 'tampil', 'home', 'chanel', 'india', 'trus', 'baik', '']",aplikasi gin sih aman make tampil home chanel india trus baik ,-8,1,Negatif
Aplikasi ni sangat bagus,5,2022-12-18 11:04:30,Aplikasi ni sangat bagus,aplikasi ni sangat bagus,"['aplikasi', 'ni', 'sangat', 'bagus']",4,['ni'],1,['ni'],ni,0,3,Netral
Banyak bug video ga bisa diputar loading mulu padahal jaringan bagus,2,2022-12-18 11:00:30,Banyak bug video ga bisa diputar loading mulu padahal jaringan bagus,banyak bug video ga bisa diputar loading mulu padahal jaringan bagus,"['banyak', 'bug', 'video', 'ga', 'bisa', 'diputar', 'loading', 'mulu', 'padahal', 'jaringan', 'bagus']",11,"['bug', 'video', 'diputar', 'loading', 'mulu', 'jaringan']",6,"['bug', 'video', 'putar', 'loading', 'mulu', 'jaring']",bug video putar loading mulu jaring,2,4,Positif
Terlalu banyak serial LGBT..,2,2022-12-18 10:45:27,Terlalu banyak serial LGBT..,terlalu banyak serial lgbt,"['terlalu', 'banyak', 'serial', 'lgbt']",4,"['serial', 'lgbt']",2,"['serial', 'lgbt']",serial lgbt,0,3,Netral
S3ngaja saya kasih bintang 1,1,2022-12-18 08:27:58,S3ngaja saya kasih bintang 1,sngaja saya kasih bintang,"['sngaja', 'saya', 'kasih', 'bintang']",4,"['sngaja', 'kasih', 'bintang']",3,"['sngaja', 'kasih', 'bintang']",sngaja kasih bintang,-1,3,Netral
