content,score,at,translated_content
Dri kemarin ga ada spiderman no way home..,3,2022-12-20 14:22:58,Dri kemarin ga ada spiderman no way home..
"while watching the resolution often changes to low, please fix it",1,2022-12-20 09:30:05,"padahal nonton resolusinya sering berubah ke low, mohon diperbaiki"
Saya tidak dapat memasuki aplikasi dan loading yang sangat lama dengan jaringan internet yang lancar,2,2022-12-20 06:40:37,Saya tidak dapat memasuki aplikasi dan loading yang sangat lama dengan jaringan internet yang lancar
Oke,5,2022-12-20 06:35:09,Oke
"Burik, dibuka keluarnya UPSS...matamu",1,2022-12-20 05:35:18,"Burik, dibuka keluarnya UPSS...matamu"
Kenapa gabisa login ke tv ya?,1,2022-12-20 05:33:51,Kenapa gabisa login ke tv ya?
Bagus banget aku suka,5,2022-12-20 05:02:50,Bagus banget aku suka
Harus di tambahin fitur buat masuk code ke tv biar kayak apk sebelah,5,2022-12-20 02:52:19,Sebaiknya ditambahkan fitur untuk memasukkan kode ke TV agar seperti apk di sebelahnya
Keren,5,2022-12-20 01:27:28,Keren
Ok,5,2022-12-19 14:27:12,Oke
"Udah langganan malah bug, ga bisa nonton.. Kyk nipuu aja",1,2022-12-19 11:50:29,"Saya sudah berlangganan dan ada bug, saya tidak bisa menontonnya.. Coba lihat saja"
"Kadang error, kadang buat hp ngeframe , kadang loading doang lama, hadehhhh",1,2022-12-19 10:26:44,"Kadang error, kadang buat hp ngeframe , kadang loading doang lama, hadehhhh"
"Fitur nya sangat sedikit sesimpel ngasih judul film di beranda aja nggak ada, mengunduh di kartu eksternal juga nggak ada",1,2022-12-18 20:04:12,"Fitur nya sangat sedikit sesimpel ngasih judul film di beranda aja nggak ada, mengunduh di kartu eksternal juga nggak ada"
"Kalau ga niat buat apk, please hapus aja. Bikin rusak HP, gimana developerny ini?!?!? Rusak parahh,, HP gw blank 1 jam sat😕",1,2022-12-18 14:04:25,"Kalau ga niat buat apk, please hapus aja. Bikin rusak HP, gimana developerny ini?!?!? Rusak parahh,, HP gw blank 1 jam sat😕"
kenapa saya tidak bisa login ke tv android box,2,2022-12-18 13:43:50,kenapa saya tidak bisa login ke tv android box
Coba subtitle nya dibawah semua. Jangan atas bawah bikin sakit mata,2,2022-12-18 13:38:11,Coba subtitle nya dibawah semua. Jangan atas bawah bikin sakit mata
Tolong diperbaiki setingan full screen untuk tablet,1,2022-12-18 13:20:14,Tolong diperbaiki setingan full screen untuk tablet
Baguss... aplikasi legal yang lengkap film Marvel,5,2022-12-18 12:45:57,Baguss... aplikasi legal yang lengkap film Marvel
"Aplikasinya kok jadi gini sih, biasanya aman2 aja selama make. Tampilan home jadi chanel2 india trus Tolong segera diperbaiki 🙏",2,2022-12-18 12:25:56,"Aplikasinya kok jadi gini sih, biasanya aman2 aja selama make. Tampilan home jadi chanel2 india trus Tolong segera diperbaiki 🙏"
Aplikasi ni sangat bagus,5,2022-12-18 11:04:30,Aplikasi ni sangat bagus
Banyak bug video ga bisa diputar loading mulu padahal jaringan bagus,2,2022-12-18 11:00:30,Banyak bug video ga bisa diputar loading mulu padahal jaringan bagus
Terlalu banyak serial LGBT..,2,2022-12-18 10:45:27,Terlalu banyak serial LGBT..
S3ngaja saya kasih bintang 1,1,2022-12-18 08:27:58,S3ngaja saya kasih bintang 1
Saya tidak suka. Dikerenakan tidak ada film perang.saya suka film perang perangan namun ini kurang lengkap:F,2,2022-12-18 07:34:52,Saya tidak suka. Dikerenakan tidak ada film perang.saya suka film perang perangan namun ini kurang lengkap:F
aplikasinya bagus tapi sayang film kartunnya kurang lengkap,3,2022-12-18 07:16:26,aplikasinya bagus tapi sayang film kartunnya kurang lengkap
"Sekarang lebih buruk,sya berhenti lngganan saja",1,2022-12-18 06:58:29,"Sekarang lebih buruk,sya berhenti lngganan saja"
"Pemotongan tanpa diberitahukan, aplikasi sialan",1,2022-12-18 06:32:25,"Pemotongan tanpa diberitahukan, aplikasi sialan"
kok gabisa dibuka ya? pasti ada kesalahan trs padahal udh tak uninstall trs download lg tp ttp gabisa dibuka,3,2022-12-18 05:12:00,kok gabisa dibuka ya? pasti ada kesalahan trs padahal udh tak uninstall trs download lg tp ttp gabisa dibuka
"Uninstall aja aplikasi tidak berguna, rugi kuota download nih aplikasi. Mau login susah. Giliran dah login malah gak bisa diputar filmnya. Dulu bagus sekarang jeleknya minta ampun nih aplikasi.",1,2022-12-17 15:43:11,"Uninstall aja aplikasi tidak berguna, rugi kuota download nih aplikasi. Mau login susah. Giliran dah login malah gak bisa diputar filmnya. Dulu bagus sekarang jeleknya minta ampun nih aplikasi."
"Black screen saat streaming film, masalah sepertiny ada pada apk ny",2,2022-12-17 15:23:14,"Black screen saat streaming film, masalah sepertiny ada pada apk ny"
"Mengecewakan,mau login ke tv aja harus ke web dah gitu kalau pake hp android ga bakal muncul buat masukin kode ke tv nya ,Masa iya harus pake hp ip/laptop atau PC dulu , MENGECEWAKAN.",2,2022-12-17 15:21:40,"Mengecewakan,mau login ke tv aja harus ke web dah gitu kalau pake hp android ga bakal muncul buat masukin kode ke tv nya ,Masa iya harus pake hp ip/laptop atau PC dulu , MENGECEWAKAN."
Mantab,5,2022-12-17 14:30:54,Mantab
Uda seminggu ga bisa diputer. Apa apan ini aplikasi segini pake fold Masi aj bug,1,2022-12-17 13:54:41,Uda seminggu ga bisa diputer. Apa apan ini aplikasi segini pake fold Masi aj bug
Aplikasi error tidak bisa berlangganan,1,2022-12-17 12:30:36,Aplikasi error tidak bisa berlangganan
mau nonton vidio offline malah loading terus hahahah,1,2022-12-17 05:38:34,mau nonton vidio offline malah loading terus hahahah
Mantappppppp.. terbaik pokoknya,5,2022-12-17 04:50:09,Mantappppppp.. terbaik pokoknya
Padahal filmnya bagus2 tapi pas mau payment ngga bisa muluu,4,2022-12-17 04:41:38,Padahal filmnya bagus2 tapi pas mau payment ngga bisa muluu
"Saya udah langganan 1 tahun baru mau dipakai dsruh langganan lagi, aplikasi menguras uang ajah, saldo gue terpotong 199.000 tapi aplikasi nggak mau kepakai👎",1,2022-12-16 23:51:03,"Saya udah langganan 1 tahun baru mau dipakai dsruh langganan lagi, aplikasi menguras uang ajah, saldo gue terpotong 199.000 tapi aplikasi nggak mau kepakai👎"
Hooh,4,2022-12-16 23:49:24,Hooh
Kenapa sih baru setengah nontn langsung bug black screnn ga guna dasar,1,2022-12-16 18:20:52,Kenapa sih baru setengah nontn langsung bug black screnn ga guna dasar
Keren bisa nonton apa aja tapi sayang gak bisa nonton Harry Potter yaudah lah yang penting seruu😃😃😃 pakek kartu kredit bayarnya ya👍👍,3,2022-12-16 17:25:02,Keren bisa nonton apa aja tapi sayang gak bisa nonton Harry Potter yaudah lah yang penting seruu😃😃😃 pakek kartu kredit bayarnya ya👍👍
Sia sia isi shope pay sama pulsa buat langganan tp malah gak bisa,1,2022-12-16 16:08:08,Sia enam isi shope pulsa sama untuk berlangganan tapi tidak
mantap,5,2022-12-16 14:20:34,mantap
Aplikasi nya jelek banget film2 yang sudah di download tidak bisa diputar lagi. Minta tolong diperbaiki,1,2022-12-16 13:34:47,Aplikasi nya jelek banget film2 yang sudah di download tidak bisa diputar lagi. Minta tolong diperbaiki
"Kenapa ga bisa login, gangguan terus",1,2022-12-16 13:07:16,"Kenapa ga bisa login, gangguan terus"
baik,5,2022-12-16 12:52:09,baik
"KESEL BANGET PADAHAL APK NYA UDH DI HAPUS, TAPI MALAH KE POTONG OTOMATIS LANGGANAN NYA.",1,2022-12-16 12:51:29,"KESEL BANGET PADAHAL APK NYA UDH DI HAPUS, TAPI MALAH KE POTONG OTOMATIS LANGGANAN NYA."
WWE raw 🙏😥,5,2022-12-16 07:07:24,WWE mentah 🙏😥
Minta kode OTP berasa lagi ngemis. Udah submit berkali kali tetep gak dikirim.,1,2022-12-16 04:35:49,Minta kode OTP berasa lagi ngemis. Udah submit berkali kali tetep gak dikirim.
Sons of Anarchy S1 E2 kenapa Error Kode [ERR_PB_1413] Kocak!!! Ok Udh Ter.Atasi MANTAB bintang6,5,2022-12-15 20:37:36,Sons of Anarchy S1 E2 kenapa Error Kode [ERR_PB_1413] Kocak!!! Ok Udh Ter.Atasi MANTAB bintang6
"Woi film Titanic kenapa dihapus anjeng!!! Percuma gue langganan, nyesel banget setan Apk sampah! Tau gini mending langganan netflix",1,2022-12-15 15:44:12,"Wah Kok Film Titanic Dihapus!!! Saya bebas berlangganan, saya sangat menyayangkan setan Apk sampah! Tahukah Anda cara berlangganan Netflix?"
"Rugi bgt udh keluar duit 39k tapi kaga bisa nnton, malah muter2 mulu film nya kaga jalan. Coba film apapun sama aja cuma muter doang.. tapi kalo trailer nya doang semua film bisa di tonton, sedangkan film nya gak ada yg bisa.. kalo trailer nya aja bisa di tonton lancar kaga mungkin masalah nya ada di kuota atau sinyal.. Rugi bgt bayar mahal cuma buat nnton trailer film.. kalo cuma trailer mah di YouTube juga bisa gratis sepuasnya",1,2022-12-15 15:21:38,"Rugi bgt udh keluar duit 39k tapi kaga bisa nnton, malah muter2 mulu film nya kaga jalan. Coba film apapun sama aja cuma muter doang.. tapi kalo trailer nya doang semua film bisa di tonton, sedangkan film nya gak ada yg bisa.. kalo trailer nya aja bisa di tonton lancar kaga mungkin masalah nya ada di kuota atau sinyal.. Rugi bgt bayar mahal cuma buat nnton trailer film.. kalo cuma trailer mah di YouTube juga bisa gratis sepuasnya"
Makin jelek gabisa di buka filmnya,2,2022-12-15 09:19:22,Makin jelek gabisa di buka filmnya
tolong perbaiki aplikasinya suka buffering padahal sinyal baik baik saja,3,2022-12-15 09:18:55,tolong perbaiki aplikasinya suka buffering padahal sinyal baik baik saja
"Di handphone saya selalu gak bisa Terjadi masalah DRM, sudah hubungi melalui email tetapi responnya lambat",1,2022-12-15 09:02:36,"Di handphone saya selalu gak bisa Terjadi masalah DRM, sudah hubungi melalui email tetapi responnya lambat"
"aplikasi yang sangat jelek, drama belum di download tapi muncul tulisan sudah di download, sangat payah",1,2022-12-15 08:43:47,"aplikasi yang sangat jelek, drama belum di download tapi muncul tulisan sudah di download, sangat payah"
"Pake 2 tahun pake Disney hoster . Puas tapi saran tambah hin filamnya ,kan sy uda nonton semuanya aplikasi Disney hotstar Smart TV",5,2022-12-15 07:58:56,"Pake 2 tahun pake Disney hoster . Puas tapi saran tambah hin filamnya ,kan sy uda nonton semuanya aplikasi Disney hotstar Smart TV"
"Kenapa menu subtitle film bahasa Indonesia hasil download film offline menghilang..? padahal jika di tonton online subtitle bahasa Indonesia tersedia..! Ini sangat merugikan pengguna, sudah susah payah mengunduh ,malah subtitle bahasa indonesia di tiadakan,apa iya harus hapus hasil download untuk menikmati film bersubtitel bahasa Indonesia,nah gak etis kan?? Mohon di koreksi bila saya salah..!!",3,2022-12-15 07:49:57,"Kenapa menu subtitle film bahasa Indonesia hasil download film offline menghilang..? padahal jika di tonton online subtitle bahasa Indonesia tersedia..! Ini sangat merugikan pengguna, sudah susah payah mengunduh ,malah subtitle bahasa indonesia di tiadakan,apa iya harus hapus hasil download untuk menikmati film bersubtitel bahasa Indonesia,nah gak etis kan?? Mohon di koreksi bila saya salah..!!"
Bangsaatt sudah didonload malah tidak bisa di tonton,1,2022-12-15 03:52:40,Bangsaatt sudah didonload malah tidak bisa di tonton
Min Lalod..,3,2022-12-15 03:36:39,Lalodku..
"Masih berlangganan 1 bulan tapi buat nonton sudah gak bisa ?? Tolong tingkatkan lagi , rugi kalo kaya gini",2,2022-12-15 02:23:14,"Masih berlangganan 1 bulan tapi buat nonton sudah gak bisa ?? Tolong tingkatkan lagi , rugi kalo kaya gini"
"Lumayan menghibur sih, tp untuk pencarian susah banget nemuin yg pengen di tonton🥲",3,2022-12-15 02:07:45,"Lumayan menghibur sih, tp untuk pencarian susah banget nemuin yg pengen di tonton🥲"
Knapa harus berlanggan saya tidak. Punya uang buat beranggapan Tolong jangan berlanggan,4,2022-12-15 01:40:58,Knapa harus berlanggan saya tidak. Punya uang buat beranggapan Tolong jangan berlanggan
Stuck loading apk jelek,1,2022-12-15 01:13:14,Stuck loading apk jelek
",N",2,2022-12-14 21:37:50,",N"
"Tidak dapat memasukam kode otp nyesel ,,bantuin dong gimana caranya bisa streaming lagi di tv udah bayar mahal.",1,2022-12-14 17:46:13,"Tidak dapat memasukam kode otp nyesel ,,bantuin dong gimana caranya bisa streaming lagi di tv udah bayar mahal."
Kasih 3 bintang dl ya. Film2 nya di perbanyak dan di perbaharui..,3,2022-12-14 16:38:16,Kasih 3 bintang dl ya. Film2 nya di perbanyak dan di perbaharui..
Ok,5,2022-12-14 15:45:56,Oke
"Kok gak bisa masuk ke home ya? Sebelum2nya aman, tp skrg gk bisa nonton sama sekali, baik di hp maupun Google TV, pdhl masih member 1 tahun. Perbaiki donk, ney!",4,2022-12-14 15:44:29,"Kok gak bisa masuk ke home ya? Sebelum2nya aman, tp skrg gk bisa nonton sama sekali, baik di hp maupun Google TV, pdhl masih member 1 tahun. Perbaiki donk, ney!"
"Playback selalu mengalami Framedrop, sehingga mengurangi pengalaman menonton lewat aplikasi. Ditambah resolusi pemutaran yang tidak konsisten, tetap pada resolusi terendah jika diatur pada resolusi tertinggi.",2,2022-12-14 14:26:02,"Playback selalu mengalami Framedrop, sehingga mengurangi pengalaman menonton lewat aplikasi. Ditambah resolusi pemutaran yang tidak konsisten, tetap pada resolusi terendah jika diatur pada resolusi tertinggi."
Ini bisa pembayaran melalui pulsa gak sih untuk 1 tahun langganan? Ini saya nyoba yg 1 bulan bisa saya coba untuk 1 tahun gak bisa2 gagal terus Tolong diperbaiki dong sistem nya,3,2022-12-14 14:17:18,Ini bisa pembayaran melalui pulsa gak sih untuk 1 tahun langganan? Ini saya nyoba yg 1 bulan bisa saya coba untuk 1 tahun gak bisa2 gagal terus Tolong diperbaiki dong sistem nya
"Setelah di update malah jadi gak bisa di pake aplikasi nya force close mulu, percuma berlangganan gak bisa di pake, tolong di perbaiki ya aplikasi nya. Makasih",2,2022-12-14 13:33:58,"Setelah di update malah jadi gak bisa di pake aplikasi nya force close mulu, percuma berlangganan gak bisa di pake, tolong di perbaiki ya aplikasi nya. Makasih"
"Tambahin dan Update Anime-nya donk, pasti banyak yg mau lenganan... Drakornya udah OK. Cuma kurang Jepangnya",4,2022-12-14 13:27:05,"Tambahin dan Update Anime-nya donk, pasti banyak yg mau lenganan... Drakornya udah OK. Cuma kurang Jepangnya"
Alasan gatau,5,2022-12-14 12:12:59,Alasan gatau
"Kenapa yaa baru pertama nonton kayak bug gitu, frezz patah patah gitu padahal hp saya Iphone 12",1,2022-12-14 11:37:46,"Kenapa yaa baru pertama nonton kayak bug gitu, frezz patah patah gitu padahal hp saya Iphone 12"
Semua nyaa berbayar 👎👎👎👎👎,1,2022-12-14 11:08:17,Semua nyaa berbayar 👎👎👎👎👎
"Kenapa gak bisa langganan perbulan, selalu dialihkan untuk berlangganan 1 tahun. Tolong perbaiki!",2,2022-12-14 10:55:42,"Kenapa gak bisa langganan perbulan, selalu dialihkan untuk berlangganan 1 tahun. Tolong perbaiki!"
"Film pets,how to train your dragon..kok gak ada lagi..",1,2022-12-14 08:59:33,"Film pets,how to train your dragon..kok gak ada lagi.."
Kenapa suka blank kadang close sendiri,1,2022-12-14 07:28:00,Kenapa suka blank kadang close sendiri
Makasih disney+Hotstar sudah bagus sekarang kasih bintang 5,5,2022-12-14 06:53:57,Makasih disney+Hotstar sudah bagus sekarang kasih bintang 5
"Update film lama, film gak menarik",2,2022-12-14 06:52:37,"Update film lama, film gak menarik"
suka bgt revengev of others semoga aja ad s2,5,2022-12-14 06:48:32,suka bgt revengev of others semoga aja ad s2
"Sangat membantu,, pertahankan..",3,2022-12-14 06:35:23,"Sangat membantu,, pertahankan.."
"Aplikasinya mental, buka film malah tutup aplikasi. Ada apa ini?",3,2022-12-14 05:40:26,"Aplikasinya mental, buka film malah tutup aplikasi. Ada apa ini?"
Lengkapin lagi film nya the mummy gak ada.,1,2022-12-14 02:11:01,Lengkapin lagi film nya the mummy gak ada.
Gila jan pake langganan lah gw nggak punya uang sdng kan gw mau nonton venom dll tolong ya lepas langganan ny supaya saya sering nonton di hp,5,2022-12-14 01:54:13,Gila jan pake langganan lah gw nggak punya uang sdng kan gw mau nonton venom dll tolong ya lepas langganan ny supaya saya sering nonton di hp
saya sih s belum coba tapi mungkin cukup bagus😎👍,5,2022-12-14 00:16:46,saya sih s belum coba tapi mungkin cukup bagus😎👍
Tidak bisa langganan metode pembayaran apapun selalu kena error 100000,1,2022-12-13 18:33:02,Tidak bisa langganan metode pembayaran apapun selalu kena error 100000
sepiprayitnocirebon,1,2022-12-13 15:17:40,sepiprayitnocirebon
"Film udah di download tapi gak bisa di tonton padahal masih berlangganan, giliran nonton film yang gak di download lancar anehhhh",2,2022-12-13 14:09:00,"Film udah di download tapi gak bisa di tonton padahal masih berlangganan, giliran nonton film yang gak di download lancar anehhhh"
Selalu black screen setelah saya menekan kualitas vidio tinggi,2,2022-12-13 11:18:10,Selalu black screen setelah saya menekan kualitas vidio tinggi
Bukannya udh bundling dgn paket telkomsel ya.kenapa skrg di suruh bayar lagi,1,2022-12-13 10:51:53,Bukannya udh bundling dgn paket telkomsel ya.kenapa skrg di suruh bayar lagi
Bagus murah tapi sepertinya disney lama memberikan lanjutan episode untuk series kartun lama sekali dan terkandang apk nya no respon baik di hp maupun d laptop tapi secara keseluruhan bagus,4,2022-12-13 10:22:48,Bagus murah tapi sepertinya disney lama memberikan lanjutan episode untuk series kartun lama sekali dan terkandang apk nya no respon baik di hp maupun d laptop tapi secara keseluruhan bagus
Saya isi pulsa dan menghapus disney agar tidak berlangganan lagi tapi kenapa selang beberapa jam muncul notif saya membeli disney dan sya cek plsa sdh terpotong dn berlangganan. Bgaimana?,2,2022-12-13 09:44:22,Saya isi pulsa dan menghapus disney agar tidak berlangganan lagi tapi kenapa selang beberapa jam muncul notif saya membeli disney dan sya cek plsa sdh terpotong dn berlangganan. Bgaimana?
"Sering bgt buat play film selalu loading,, padahal internet bagus.. Aplikasi udh saya restart tetep aja gk ada perubahan.. Percuma langganan klo buat nonton tidak bisa",1,2022-12-13 08:21:50,"Sering bgt buat play film selalu loading,, padahal internet bagus.. Aplikasi udh saya restart tetep aja gk ada perubahan.. Percuma langganan klo buat nonton tidak bisa"
Ada film baru ga y,5,2022-12-13 05:21:37,Ada film baru ga y
"saya padahal sudah berlangganan hampir satu tahun , kenapa akhir² ini saya ingin nonton film ga bisa di play. Padahal untuk di buat nonton triler film nya bisa, tapi waktu mau di play film nya gabisa selalu ada tulisan error",1,2022-12-13 03:03:28,"saya padahal sudah berlangganan hampir satu tahun , kenapa akhir² ini saya ingin nonton film ga bisa di play. Padahal untuk di buat nonton triler film nya bisa, tapi waktu mau di play film nya gabisa selalu ada tulisan error"
"Ini gimana sih, saya udah beli paket lewat my telkomsel tp pas mau nonton malah suruh bayar paket lg, yg bener aja dong",2,2022-12-13 00:59:11,"Ini gimana sih, saya udah beli paket lewat my telkomsel tp pas mau nonton malah suruh bayar paket lg, yg bener aja dong"
Keren,5,2022-12-12 15:11:34,Keren
Sudah beberapa kali di coba tidak bisa konek ke tv.ada kode di tv tapi pas mau di masukin ke hp ga ada untuk masukin kode yg di tv,2,2022-12-12 13:54:53,Sudah beberapa kali di coba tidak bisa konek ke tv.ada kode di tv tapi pas mau di masukin ke hp ga ada untuk masukin kode yg di tv
"Saya ingin mencoba masuk dan berlangganan, tetapi tidak pernah mendapatkan SMS masuk untuk kode akses. Mohon di perbaiki sistemnya.",2,2022-12-12 07:12:19,"Saya ingin mencoba masuk dan berlangganan, tetapi tidak pernah mendapatkan SMS masuk untuk kode akses. Mohon di perbaiki sistemnya."
"Please make option if we sleep when watching dont recomment another movie, just close the app so no drain batterai..",5,2022-12-12 03:04:02,"Tolong buat pilihan jika kita tidur saat menonton jangan rekomendasikan film lain, tutup saja aplikasinya agar tidak menguras baterai.."
Cara berhenti langganan gmna ya?dicari² kok gk bsa..help!!🙏,4,2022-12-12 02:09:42,Cara berhenti langganan gmna ya?dicari² kok gk bsa..help!!🙏
"Kemaren maksimal 5 film bisa di download, sekarang malah cuma 3. Aneh segala dibatasi padahal download pakai kuota sendiri. Ngehe lah ni aplikasi",2,2022-12-11 22:30:15,"Kemaren maksimal 5 film bisa di download, sekarang malah cuma 3. Aneh segala dibatasi padahal download pakai kuota sendiri. Ngehe lah ni aplikasi"
Minta petunjuk Cara merubah ukuran font subtitles,5,2022-12-11 15:31:08,Minta petunjuk Cara merubah ukuran font subtitles
Ini bagus kok 😁😁😁,3,2022-12-11 13:56:47,Ini bagus kok 😁😁😁
"Cuma bagus di awal, setelah 1 bulan pemakaian film tidak bisa diputar, padahal sudah berlangganan lewat IndiHome. Tolong perbaiki aplikasi nya, kita sudah, berlangganan tapi aplikasi tidak bisa digunakan, sering gangguan, disarankan jangan langganan Disney, mending Netflix",1,2022-12-11 11:13:00,"Cuma bagus di awal, setelah 1 bulan pemakaian film tidak bisa diputar, padahal sudah berlangganan lewat IndiHome. Tolong perbaiki aplikasi nya, kita sudah, berlangganan tapi aplikasi tidak bisa digunakan, sering gangguan, disarankan jangan langganan Disney, mending Netflix"
"bagus banget cuma kurang lengkap aja, aku harap kalian bisa lebih memperbanyak film dan series nya juga kartunnya",5,2022-12-11 09:59:29,"bagus banget cuma kurang lengkap aja, aku harap kalian bisa lebih memperbanyak film dan series nya juga kartunnya"
Ini hari ini lagi gangguan kak?kok GK bisa masuk aplikasi...tdi pagi masih bisa....,1,2022-12-11 09:42:26,Ini hari ini lagi gangguan kak?kok GK bisa masuk aplikasi...tdi pagi masih bisa....
Seru,5,2022-12-11 09:41:44,Seru
Tolong untuk lokasi pengunduhan bisa di pindahkan ke kartu eksternal,3,2022-12-11 07:59:52,Tolong untuk lokasi pengunduhan bisa di pindahkan ke kartu eksternal
Bnyakin drakor,5,2022-12-11 02:29:33,Bnyakin drakor
Sekarang sering banged error kode PL-1001,3,2022-12-11 01:14:20,Sekarang sering banged error kode PL-1001
"Buffering terus, lemot...sudah banyak yang komen dan ngasih bintang 1 tapi belum ada solusinya. Tarohan nie komen cuman numpang lewat doank gak bakalan direspon.",1,2022-12-10 14:13:40,"Buffering terus, lemot...sudah banyak yang komen dan ngasih bintang 1 tapi belum ada solusinya. Tarohan nie komen cuman numpang lewat doank gak bakalan direspon."
Chanel keluarga,4,2022-12-10 14:03:55,Chanel keluarga
"Kenapa deh Tiap pindah lokasi pasti ga mau kebuka nih aplikasi Bisa dipake cuma di kost doank, giliran ke tempat kerja atau ke tempat lain selalu ada notifikasi ""something went wrong, please try again"" Udah dibuka ulang2 tetep aja ga bisa kebuka 🖕🏼",1,2022-12-10 08:36:18,"Kok tiap pindah lokasi malah gak mau buka aplikasinya. Hanya bisa digunakan di kos-kosan saja, kalau mau berangkat kerja atau ke tempat lain selalu ada notifikasi “ada yang tidak beres, silakan coba lagi”."
Amien,5,2022-12-10 04:50:32,Amien
saya tidak Bisa menonton video dan selalu di arahkan untuk membeli paket padahal paket internet saya termasuk paket disney,3,2022-12-10 04:34:05,saya tidak Bisa menonton video dan selalu di arahkan untuk membeli paket padahal paket internet saya termasuk paket disney
thor love and thunder selalu eror. udah download offline pun tetep gabisa diplay.,1,2022-12-10 02:52:39,thor love and thunder selalu eror. udah download offline pun tetep gabisa diplay.
"Banyak bug, ngblur lh, skip lama lh, suara kecil lh. Percuma langganan",1,2022-12-09 13:52:10,"Banyak bug, blur, skip panjang, suara kecil. Berlangganan gratis"
Mungkin bisa ditambahkan film/serial detektif Conan,5,2022-12-09 13:17:45,Mungkin bisa ditambahkan film/serial detektif Conan
Jelek kali harus bayar kalo bayar bilang,1,2022-12-09 05:01:22,Jelek kali harus bayar kalo bayar bilang
ini Disney+ kenapa ya setiap saya masuk menggunakan wifi selalu tidak bisa tulisannya terjadi masalah tetapi ketika saya coba menggunakan data seluler bisa tetapi dengan wifi tidak bisa saya tidak mengerti ini kenapa tolong segera diperbaiki 🙏🏻,2,2022-12-09 04:23:06,ini Disney+ kenapa ya setiap saya masuk menggunakan wifi selalu tidak bisa tulisannya terjadi masalah tetapi ketika saya coba menggunakan data seluler bisa tetapi dengan wifi tidak bisa saya tidak mengerti ini kenapa tolong segera diperbaiki 🙏🏻
Gk ada fitur naikin speed,5,2022-12-09 03:00:12,Gk ada fitur naikin speed
Kenapa audio dan gambarnya tidak muncul saat diklik videonya? Layarnya hitam dan hanya ada subtitle saja.,2,2022-12-09 01:57:59,Kenapa audio dan gambarnya tidak muncul saat diklik videonya? Layarnya hitam dan hanya ada subtitle saja.
"baru pertama kali coba langganan disney, awalnya tertarik karena banyak series dan film yang bagus2 di sini. tapi ngeselin banget tiap nonton selalu ngebug, ngefreeze, dan parahnya lagi subtitle suka delay dan ilang2an! tau gini sih mending gak usah langganan, nyari yg ilegal juga banyak dan pengalaman nonton nya lebih baik dibanding di disney. nyesel saya",1,2022-12-09 01:31:04,"baru pertama kali coba langganan disney, awalnya tertarik karena banyak series dan film yang bagus2 di sini. tapi ngeselin banget tiap nonton selalu ngebug, ngefreeze, dan parahnya lagi subtitle suka delay dan ilang2an! tau gini sih mending gak usah langganan, nyari yg ilegal juga banyak dan pengalaman nonton nya lebih baik dibanding di disney. nyesel saya"
"Film dan series nya menarik tapi fitur-fitur nya kurang lengkap seperti menyimpan unduhan ke kartu SD dan sesimpel memberi judul film/series aja nggak ada, nyesel langganan disney tau gitu mending ke web ilegal ato nggak ke aplikasi sebelah kalo kek gini",1,2022-12-08 17:30:48,"Film dan series nya menarik tapi fitur-fitur nya kurang lengkap seperti menyimpan unduhan ke kartu SD dan sesimpel memberi judul film/series aja nggak ada, nyesel langganan disney tau gitu mending ke web ilegal ato nggak ke aplikasi sebelah kalo kek gini"
Ga bisa nyambung ke wifi internet selalu ga connect,2,2022-12-08 14:54:25,Ga bisa nyambung ke wifi internet selalu ga connect
"kenapa sekarang susah sekali di akses , padahal sudah berlanggan melalui telkomsel maxstream.. tolong di permudah padahal sudah login menggunakan nomor yang terdaftar paket nonton..",4,2022-12-08 14:40:49,"kenapa sekarang susah sekali di akses , padahal sudah berlanggan melalui telkomsel maxstream.. tolong di permudah padahal sudah login menggunakan nomor yang terdaftar paket nonton.."
"Hadeh di update malah bug, gabisa play film. Dah berlangganan gini hadeh",1,2022-12-08 13:01:43,"Hadeh di update malah bug, gabisa play film. Dah berlangganan gini hadeh"
goooood,5,2022-12-08 12:47:12,bagus sekali
Kalo Film nya Gratis gapapa...kenapa semuanya harus bayar? Aku gak suka aplikasi ini dasar bodoh!,1,2022-12-08 12:17:17,Kalo Film nya Gratis gapapa...kenapa semuanya harus bayar? Aku gak suka aplikasi ini dasar bodoh!
Apakah ada gangguan sekarang tanggal 8,5,2022-12-08 06:28:42,Apakah ada gangguan sekarang tanggal 8
"Tiba tiba streming ngefreze, sudah didownload tetep aja ga bisa muter filmnya.",2,2022-12-08 03:24:26,"Tiba-tiba streamingnya macet, sudah didownload tapi masih belum bisa memutar filmnya."
"Udh jadi langganan sih, bagus dan keren banget",5,2022-12-07 23:39:48,"Udh jadi langganan sih, bagus dan keren banget"
Bro thor love and thunder gada suaranya sih,2,2022-12-07 17:55:37,Bro thor love and thunder gada suaranya sih
Seneng banget akhirnya disney mulai menampilkan anime😁kebetulan aku lagi suka anime😍request anime Kuroshitsuji / black butler. Ya..,4,2022-12-07 16:14:37,Seneng banget akhirnya disney mulai menampilkan anime😁kebetulan aku lagi suka anime😍request anime Kuroshitsuji / black butler. Ya..
"Sudah setting ke kualitas tinggi, tetap aja kualitasnya kayak film bajakan bikin mata sakit, btw saya pake redmi note 8 pro",1,2022-12-07 16:08:24,"Sudah setting ke kualitas tinggi, tetap aja kualitasnya kayak film bajakan bikin mata sakit, btw saya pake redmi note 8 pro"
