text,rating,detected_language
"Mau pk wifi super kenceng ato jaringan no wahid ktnya gada kendala, ttp aja srg ngelag n muter2 mulu. Kesel jd nntn keganggu banget.",1,indonesian
ABSOLUTELY TRASH,1,unclear
Mantap surantap,5,unclear
"Can we cast disney+ to tv with chrome cast? I once saw the button on the apps, but now there is no cast button",2,english
"Streaming any TV Shows or Movies often lags and my WiFi is fast (Amazon Prime, YouTube, Netflix, HBO never had any connection issues at best video quality). 

Don't fix app UI, for now, prioritise repair and upgrade on your server, so we all can enjoy streaming at Disney Hotstar.",4,english
"Harganya mendukung, murah. Aplikasi bagus. Tapi kok film mulan gak di release ya?",5,indonesian
"paling susah vertifikasi nmr hp,percuma udah langganan tapi gabisa masuk",2,unclear
"Even though its a different app from US. I think the app is pretty solid, without much bugs. The price is reasonable, but the library also not too huge so its fair. Need to add device mainly Apple TV. IOS user will mainly watch on TV via Apple TV. Also when playing the logo disney+ on top is rather annoying. Preferable no logo or UI when playing for more immerse experience (like Netflix). Keep it up!!",5,english
Kak nanti sy kasih bintang 5 kalau film radha krishna ada season 2 dan seterusnya 🙏🏻🙏🏻 pliss yah kak,3,indonesian
download for watching snowdrop kim jisoo,5,unclear
It suck,1,unclear
Dark mode,4,unclear
"Overall the app is so good but idk why is it so hard to get the otp code, I want to link my acc to another device but struggling with this.",3,english
Had to kill app many times just to get the app loading. Every click resulted in frozen screen. Annoying 21+ acknowledgment for every damn episode. Do better.,2,english
"Kode konfirmasinya dibenerin dulu goblok, ditunggu sejam kaga muncul babi",1,unclear
"Very appreciate, finally Disney+ arrived in Indonesia. Please add support to tvOS so appleTV user can enjoy it on a big screen, since its already available on androidTV as well.",5,english
"Filmnya banyak banget, cuma kurang di tambah film indonya di update lagi film2 terbarunya oberall suka banget 😬",5,indonesian
Susah banget kalo login via web,3,indonesian
I don't have money dumbass,4,english
"Sangat dinanti karena Konten DISNEY, That’s it, namun kenapa tidak bisa Airplay... 😟 Atau tolong buatkan aplikasi untuk APPLE TV Secepatnyaaa 🙏🏻🙏🏻🙏🏻 🙁🙁 makasiih",5,indonesian
This app is really bad 👎 Playback error keep occurred when I want to play the download videos.. since my internet connection is quite slow I usually download the movies I want to watch first then watch it later after download is completed.  But this error keep happening so the download function is really useless.,1,english
Udah bayar nih gw sinyal kenceng masa iya buffering terus!!,1,unclear
"After download the app and open. Here what happen :
1. Bug on seacrh btn, keyboard doesn’t show
2. Freeze app, I can’t even swap to back home",1,english
Saya ingin memperpanjang satu tahun langganan yang terjadi malah langganan saya jadi ganda alias langganan 3 bulan dan langganan 1 tahun.,1,indonesian
"thanks, we can watch from apple tv now. fo next, please make it compatible with AirPods Pro Spatial Audio please",4,english
Please add DARK MODE please...,5,unclear
"ngk bisa login pake email
solusi",3,indonesian
Kenapa si selalu gabisa play pake wifi,1,unclear
I want to log in the app with my phone number but I can’t get the otp code via SMS/Call even though my phone number is already correct,4,english
Please developer disney+ ios add dark mode,5,unclear
"Kenapa sekarang gak berlangganan lagi sama Telkomsel, biasa nya klo isi paket telkomsel sudah termasuk langganan disney+hotstar 1 bulan…sekarang udah gak bisa lagi, mohon maaf saya turunin bintang jadi bintang 1",1,indonesian
Aplikasi gblok otp susah banget dikirim,1,unclear
Great collaboration Disney+ and Telkomsel,5,english
App kinda lagging. Could not cast to tv using google chrome cast. Found that in other country this app can be casted to tv. Please update it. Thx,3,english
Kode OTP ke nomor tujuan tidak masuk menggunakan perangkat ipad,1,indonesian
"Please fix it.

Thank you",3,unclear
Tiap 40 detik buffering,2,unclear
"I downloaded this app and paid the subscription in order to watch the newest mulan, but all i can find in there is only the cartoon version of mulan.. how can i watch the human version of mulan.. i saw some people comment in instagram that mulan can only be seen through the premium app? How can i get the premium app??",3,english
"Abis update, knp jd gabisa kebuka ya? Loading muter2 terus.. sampe delete app terus download lg.. ga ada perubahan.. ttp gabisa kebuka",4,indonesian
Please add a feature to cast on Google Chromecast,5,unclear
it would be convenient if there is a mirroring feature so we can watch through our tv,4,english
Nunggu sms otp kayak nunggu surat resign dari bos,1,indonesian
"Love the movies choices, but would be great if you add picture in picture feature",3,english
"Gw uda berlangganan,mau login kode verifikasi nya gak di kirim* . ini gimana ceritanya oii",1,indonesian
CHROMECAST,1,unclear
"Quite nice app with quite extensive collection but only suitable for watching alone or when you are on the road.
This is supposed to be entertainment for whole family, but imagine watching a movie for let’s say a kid with his/her parents on iPads or even worse iPhones..
Please make it available to watch it on TVs or big screen because watching movies like Marvels’s or Avatar on small screens are sooo not fun!!!",2,english
"Great content, great movies collection, Top notch complete Star Wars universe. Too bad we had to watch then in small screen ONLY. Its a shame, George Lucas might be crying somewhere now if he found out we only able to watch The Jedis on the phone screen. Should be on the Apple Tv & Smart Tv . Please !!!!!!!!",3,english
Akhirnya..bisa juga di apple tv..good job👍👍,5,indonesian
"- Can Disney directly handle this app? Not hotstar? So much for Disney+ but it’s actually MINUS in the terms of content!
- 4K RESOLUTION WHERE? F-kin grainy!
- App for windows where?
- ENGLISH SUBTITLE PLEASE
- You don’t even have “Share to Instagram” seriously?

+ Grey’s Anatomy (my forever guilty pleasure). I’m gonna immediately unsub when Grey’s Anatomy finished.",3,english
"Astagfirullah, mau berlangganan susah banget. Kode otp ga masuk masuk. Pengen di bayarin ga sih ini aplikasi. Aneh banget",1,indonesian
"Kelemahan Aplikasi ini

~ suka play preview otomatis di thumbnailnya
Bisa ga sih ini diubah, gausah pake play preview gtu lah
Abis loh data orang!!!!

~ download diubah sesukanya jidat padahal aku mau low kapitas atau normal malah yg nanti jadinya HD padahal settingnya aku udah ku set ke LOW tapi tetap aja HD #korupsi data bgt ya",2,indonesian
"Ga bisa picture in picture di ipad atau iphone.
Buka control centee video pause buka notification center video pause

Close aplikasi buat bales chat. Buka lagi video langsung buren padahal sebelumnya hd
Kualitas aplikasi yang sangat buruk",1,indonesian
"App nya gak enak banget dipakai, jauh banget dibanding app sebelah",1,indonesian
"Seneng bisa setahun dengan harga hanya segitu dan film nya makin di tambahin terus. But, sorry to say, setelah melakukan update aplikasi jadi gak bisa di buka. Hehe :) saya melakukan pembayaran langganan melalui indomart (bukan kuota telkomsel) tapi sekarang hanya bisa di akses menggunakan kouta data. Terus apa guna nya saya beli langganan waktu ada awal rilis langsung melalui app? Hah?",1,indonesian
"Useless, who can have the joy of watching movies thru the tiny screen of a smart phone or even a tablet?!",1,english
"I know we can just open browser and watch hotstar normally but it is easier to just mirror hotstar on tv, there is no apps as well on my samsung tv which is frustating, please fix it and will change the review, but for nor 2/5",2,english
Bagus dan murah,5,indonesian
"Apple TV 4K saya tidak ada disney plus hotstar, kenapa bisa?? Pdhl di iphone, ipad, imac ada!",1,indonesian
"Cant screen mirrorin please make apps on apple tv, i subscribe already",1,unclear
Nonton film disney full dan murah cuma 20 ribu,5,indonesian
Belum support chromecast ya?,5,unclear
"Don’t subscribe to this thing. It’s a joke. Can’t AirPlay it to my Samsung Smart TV, no app on the TV as well, and seriously, the viewing screen can’t get any smaller than this. Black screens on all four sides, and what’s with the Disney+ watermark? I know I am watching a Disney movie with a Disney+ app. I don’t need it reminding me all the time and it ended up sacrificing the whole movie watching experience. Don’t waste your money on this.",1,english
"Filmnya sedikit banget, cuma film tertentu saja yg ada. Masih belum cukup menghibur app nya!.",1,indonesian
Help me to connection andoid tv.,5,unclear
Very Entertaining it's like you have an unlimited amount of movies and series to watch and it keeps up to date with the movie today,5,english
This app is so great. Hope the developer do some updates on the documentary episodes.,4,english
"Saya bayar untuk menonton film"" disney bukan film"" lokal indo. Tp yg diupdate film lokal indo mulu. Sangat kecewa",2,indonesian
Can you guys please add airplay support soon?,4,english
This is supposed to be for Indonesia not India,1,english
Very nice apps to stream,5,unclear
bisa share ke instagram story dong,4,indonesian
How to share the movie to IG story like Netflix did?,5,english
"Tolol bgt gak bisa connect ke TV pake HDMI, selalu minta matiin screen recording gak jelas. Mending Netflix bisa di connect ke TV",1,indonesian
"Everytime. Everytime I’m trying to log in on my desktop browser it’s always, always not sending the 4-digit code to my phone number. Been always like this since the first days of disney+, I mean how can I enjoy the show when it’s so freaking hard just to log myself in. It recommends me to get the code via call, it’s usually also not calling my number, or when it does, I can’t even hear the clear spelling of the numbers. Bad, just bad.",1,english
"Hi Dev Team,

Please to be add cast screen to AppleTV, since this cannot to be done mirroring. Would be nice if this can be watching on big screen (TV)",4,english
"Just a couple of input for developer, 
Browsing for shows is a tad bit too hard, some shows doesn’t come out in the carousel unless you use the search function, we need better show browsing option.
Also some shows are missing english subtitles.",4,english
"Segera di perbaiki apps, sudah berlanganan tidak bisa download film padahal internet lancar!!
Kecewa banget.",1,indonesian
Enable cast!! No use to have tons of titles but forcing users to watch on phone screen,1,english
mending bangkrut aja lah masa kode verifikasi ga dikirim kirim padahal nomor udah bener sebener benernha,1,indonesian
Pilihan filmnya sangat monoton kurang beragam.,1,indonesian
"Looks good, but i hope you have english subtitles for the next updates",4,english
Memang masih baru si ceritanya gw PO berlangganan dan paketan lewat telkomsel pas udah berhasil gw buka dong app nya trs login pake no telp tapi trs nanti ada kaya OTP kayanya masuk ke no telp tapi ditunggu kagak ada notif SMS apa2,2,indonesian
Loving the movies and series so far. Can’t wait for more upcoming contents since i know (and tried) disney+ outside of indonesia and it had much larger catalog than this one. Dark mode would be appreciated. Loving the price. Please add the feature to share on instagram!! It makes gushing about movies/series that much mofe fun~,5,english
"Semakin betah nonton via handphone/tablet dimana saja, kapan saja.

Apalagi serial2 spin off Avengers yang hanya Eksklusif tayang di Disney + HotStar, woooowww...🤩🤩🤩",5,indonesian
Film2nya cukup bagus namun sayangnya tampilan filmnya tidak full screen di layar ho sperti app lain sejenis,5,indonesian
"4k, chromecast, and multiple user in one account features will be appreciated",5,english
"Please create the tvOS version, or at least enable AirPlay support",4,english
"Sama kaya my telkomsel, sering ngelag padahal sinyal lagi bagus yt, ig lancar kenapa cuma hotstar doang yang nge lag. Tolong dong telkomsel jangan kayak gini mulu lalo punya aplikasi",1,indonesian
Otp kok lama sekali mau login ga bisa,1,indonesian
"Update terbaru malah bermasalah, tidak bisa dipakai. Diangap tidak belanganan, padahal baru saja berlanganan kembali..",2,indonesian
Hey please fix this issue,1,english
Semua film terbaik rata-rata memang dari Disney. Nice one 👍👍,5,indonesian
Airplay is not a new technology. Please enable airplay for family to enjoy disney content on the big screen at home.,1,english
"I'm willing to subscribe, just give me the OTP man, please fix this",1,english
"Everytime I exit the app , downloading will automaticly fail
please fix this so I dont need to wait in app everytimw I download film",1,english
"Gmna bisa Apps segede disney, Buffring trus… padahal koneksi bagus. Buruk bgt",1,indonesian
online pake wifi gak bisa nonton/ download filmnya.,1,indonesian
“Something went wrong. Please try again in sometimes.” Sering banget eror saat buka aplikasi di Ipad.,3,indonesian
"Cheap price, good watching",5,unclear
"The subtitle for Grey’s Anatomy is 50% inaccurate, please have someone with medical background review it. The app is otherwise fine.",3,english
It's ridiculous having to watch movies and shows on a small screen..,1,english
"This is really good, I like it and it's cool, the films are complete here. You have to download it.",5,english
"pertama kali donwload nonton apapun gratis eh ga lama ga bs nonton lagi cuma bs preview sinopsis, ujung2 nya suruh langganan bayar, apa gunanya pakai kartu halo yg bayar tiap bulan pake ga pake, kirain gratis untuk pengguna hallo, auto uninstall dah",1,indonesian
Troublesome in getting otp code. Please fix this.,3,unclear
Please add option to chromecast and share to instagram story,4,english
Please make it available on samsung smart tv,3,unclear
"sometimes it's happen, the sound was like 'drowned'. or is it just my audio problem???",3,english
"But can you guys upload more movie? I mean not all disney movies are inside, overall good and thanks you!",5,english
Ga jls bgt,2,unclear
It’s Marvelous!!!!!!!! Happy watchin’ alles!!!!,5,unclear
Im already install and also subscribe for 1 year’s. Please give a feature to watch on tv (mirroring) thanks!,5,english
cool!,5,unclear
"Collection is great, however too bad there’s no cast button yet. Dissaponting to have to watch all the great content on small iphone screen only",3,english
"Pengen nonton Encore yang Kriesten Bell tapi kok gaada ya? Padahal di disney+ US ada. Plis tambahin film2 dan series disney yang lengkap, jangan malah film2 indonesia. Ini disney+, harusnya disneynya dulu dilengkapin.",3,indonesian
Login via web emg sekarang otp nya dikirim dari wassap tidak dikenal?,3,indonesian
Please fix this,2,english
i tried to download a single film (of course i had my subscription and a lot of storage spaces) but it keeps failing. dont even bother to subscribe,1,english
Please add more sub english to series and movie,4,english
I’ve tried to log in to my account so many times but the OTP was sent via WhatsApp using suspicious phone number. I never received OTP through SMS and via call. Is there some issue with this app? Please fix this.,3,english
Can’t cast to Apple TV or Chromecast. Please update!!,1,unclear
"Already subscribed and pay for 1 year, really disappointed 

Can’t watch at Apple TV and Sony Bravia smart TV

I subscribed Apple TV, HBO, Netflix and Amazon but never have this issue

Really disappointed Disney, shame on You Bob Chapek",1,english
Please fix this. It keeps buffering while the problem is definitely not on the internet.,5,english
"Bisa gk Kalo mau pasang ads di YT gk usah pake film horor.. terganggu banget tauk kalo nonton YT tengah malam tiba2 muncul ads film SETAN. 
AUTO UNINSTALL !!",1,indonesian
Jlk jalal am,1,unclear
Collection of movie number too view than netflix disney requested to add movie number to improve and to take interest costumers to subscribe disney otherwise costumers will left.,2,english
"Moreee affordable than Netflix, and have good liblary of films. But please make iOS swipe gesture  nav bar disappear when viewing video full screen",3,english
AppleTV app please,3,unclear
"hdeh cape bgt sebenernya td udah nulis panjang lebar bgt tapi keapus karena kepencet cancel jadi harus nulis ulang 🙃🙃

1. NEEDS MORE IMPROVEMENT
gatau ini terjadi ke gue aja apa gmn, but this is really irritating. setiap kali gue mau nonton tv shows thumbnail/isi konten (episodenya) itu berceceran. so like contoh nih, mau nonton episode 3, tapi thumbnailnya itu dari episode 7, jadinya ga sesuai gituloh.
kalo ga gitu pasti episodenya yg berceceran, contoh : gue mau nonton episode 4. thumbnailnya bener, tapi isi kontennya (episodenya) itu dari episode 6. and it’s really irritating sometimes karna kalo mau nonton ulang episodenya jadi bingung yg mana soalnya judul sama isi kontennya beda n berhamburan.

2. NEED MORE SEASONS AND EPISODES.
banyak tv show yg seasonnya belom lengkap. contohnya acara tv K.C UNDERCOVER, GIRL MEETS WORLD, JESSIE, dan A LOTTTTTTT more. k.c undercover originally had 3 seasons, tp di disney+ hotstar baru ada 1 season. so does jessie, gmw and other series. i know mungkin ini karna disney+ hotstar masih agak baru but i hope u guys can make it faster! 🤞💗

3. NEED A BETTER TRANSLATION / TRANSLATOR.
tbh i think this is also VERYY irritating. banyak kata2 yg salah di terjemahin. dan takutnya malah orang2 yg kurang ngerti bahasa inggris malah bingung soalnya yg diterjemahin sama yg diomongin n alur ceritanya jAuh buAngEttt. and that’s not really cool:/ once ada episode di tv show “JESSIE” dari s1 yg bener2 ngaco translationnya, and of course this does not apply to every words but still is a bit of a problem.

well after all i still love disney+ hotstar, but i think it just need some improvements and more episodes! but i think it’s fine since ini juga belom lama banget dirilis apknya. so yeahh i think that’s all for today! much love and goodluck! 💗💗",3,indonesian
Be very carefull with this app. It's an xxx-- rated app,1,english
Server login indonesia hanya bisa pakai nomor lokal (ga bisa pakai akun email/fb) terus ga bisa disambungin ke Smart TV,3,indonesian
"setiap kali habis subscribe gak bisa dibuka, error terus
iOS 15.4.1",1,indonesian
Please add “days to watch” on the movies that already been downloaded.,5,english
Dari dulu dulu kek muncul :v,5,indonesian
Gambar pecah2 mulu udah kaya kaki 😂 tiap pas gambar mulus langsung buffering ngulang lg pecah2 lg dah lah cukup sekali gue langganan. Besok2 no way. Netflix terbaik! Bye,2,unclear
"idk on system theres a download progress but on app it never reach 5% when  downloading and the result download always failed,pls fix  ( ios 15.5 )",3,english
No TvOS app until now.,1,unclear
"having had several attempts to cast the film to my airplay tv, which only gave me sound only no pictures, I searched the internet and the information given was to airplay from the my iPhone through tapping airplay icon which is supposed to be in the top right hand corner. I run again the app and could not find the above mentioned airplay icon. can you check again please, the version. thank you.",1,english
"Can’t be played using HDMI cable from IPhone, 1 Star for now",1,unclear
"buffering melulu, padahal sinyal bagus",1,unclear
No option to connect to chromecast,5,unclear
"Susah Login, kode OTP tidak masuk masuk",1,indonesian
"Tidak bisa menggunakan chromecast dan smartTV, untung cuman ambil langganan sebulan doang..",1,indonesian
"Shame on you disney!! 100 years u try for making money from children, make a beautiful dream for them. But in the real life you’re a murderer. Murder thousands kids, or maybe millions? Bcause u’ve been around for 100 years, it means u’re a witness from the beginning when Palestine colonized. Then its not impossible that u’re contributed from the beginning!! Oh my God..",1,english
Sorry i must to uninstall rn cz this app help and pro to israel. Say good bye!!! ✌🏻,1,english
#IstandwithPalestine - Uninstalling and unsubscribe now,1,english
For god sake save palestine,1,unclear
"You support genocide.
You promote disgusting LGBTQ 🤮🤮🤮",1,unclear
"you killed the doctor and military family IM STAND WITH PALESTINE , YOU DONT HAVE A HUMANITY !",1,english
"Harganya udah mahal bgt tbtb yg basic 65k 🤷🏻‍♀️tontonan disney banyak sisipan lgbt jg skrg, pro israel pula 😪 ngga lagi deh",1,unclear
Isi film banyak menyesatkan anak anak supaya menyesatkan mendukung LGBT dan penyumbang israel nauzubillah,1,indonesian
"Uninstalled. Never support a brand that support a genocide moves, right people on right side, stand for palestine.",1,english
"i can not log in to my account, i get OTP code from somebody’s phone number through whatsapp, becareful guys dont use that fake OTP.",1,english
i have subscription on feb 6 2025 and how can disney make the double subsricption on 26 march 25 at single account??,2,english
Dah exp date. Mau langganan lagi ga bisa pakai GoPay dah terdaftar katanya. Bgemana sih. Mana pembayaran cuma bisa pakai GoPay. Ga punya debit. Minimal bisa pakai shope pay atau app merchan lain kek. Akhirnya aku delete ajah aplikasinya. Ga ngebantu bgt. Payah. Capek2 loging berkali2 ga bisa 2 mau langganan lagi,1,indonesian
"udah 2x beli paketnya dengan 2 akun sama sama ga bisa di gunain, disuruh upgrade terus di pake ga bisa, apl anyng",1,indonesian
Udah bayar lagi trus suruh bayar2 lagi. Capek dehhh,1,unclear
"gila ya? dikira langganannya murah? kalo ga bisa ke play lah, buffering connection lah, dll, yg bener aja? cuma mau nonton tenang aja sampe gabisa, yg bener dong, kalo mau patok harga mahal ya jangan dibikin buffering terus njir",1,indonesian
Cannot change the payment method. You know what’s worse? They don’t even give you cancellation button.,1,english
Bagus bisa di mana aja film nya juga bagus bagus suka bgttt❤️❤️❤️😍😍😍,5,indonesian
Tak bisa login/create akun,1,indonesian
"Please update your movie, your movie quality is not high as Netflix",3,english
Even at 1080p it looks like it's compressed so horrible it looks like 240p on my ipad,1,unclear
Masa di konfirmasi bayar 1 bulan langsung potong saldo untuk satu tahun! Apk gajelas,1,indonesian
Mau subscribe aja ribet,1,indonesian
"selalu dengan error to manyy user on your account, padahal mah yang kepake yg dihp🙂‍↕️ dan juga ui buat skip kadang ga jelas juga, gasmooth. terrible",2,indonesian
"Sudah subscribe lewat telkomsel, tapi gak bisa muter film sama skali. Cuma suruh manage access terus2an, gak bisa diapa apain.",1,indonesian
Currently living in china now i can’t even access the damn app why you won’t make me access my own country’s disney+ disney?,1,english
"Login hanya di 1 perangkat smart tv, bbrp film gak bisa di play, selalu stuck gak mau main.",1,indonesian
Why i can sign up? I am new here,1,english
"paid with gopay years ago, stopped the subscription and now i want to subscribe again. It kepts leading me to the gopay link and it says to input my phone number, but when i did, it saya my phone number is already linked. 
 
I cant even unlinked my
phone number?!?!?! seriously fix your app if you want people
to use it",1,english
"This your problem can’t connect to tv, still use ios phone to watching and connect only screen, stupid",1,english
"Tidak dapat login, tombol validasi no hp tdk dpt d klik",1,indonesian
"Movie choices are good but very bad quality, always loading every 10 seconds",1,english
"after i watch on tv, i can’t continue watching other on my phone. said “too many people using your account right now” and i already unlog all from other devices even from my tv. and only on my phone rn. wthell???",2,english
"I was traveling overseas, now when i comeback to my country the Disney channel said my account not have",1,english
Kenapa saat ingin melakukan pembayaran susah banget sih . Udah pakai gopay tapi tetep aja gak bisa,1,indonesian
"They claimed to be a woke streaming platform but all i can see in their newest series either focused on brown and black people or queer characters but no Asians characters? Whats up with that Disney? SO ARE YOU WOKE BUT ONLY FOR CERTAIN KIND OF RACES AND LGTBQ PEOPLE? Asians just keep sidelined in your channel! Youve only made MULAN and thats it. No new series based on Asian characters too? Your main cast in new series are either black, brown or queer. But yet no Asians?? As a main character in ANY OF YOUR  NEWEST SERIES AND MOVIES. Us asians should really stop using platforms that keep sidelining our ppl. They dont want to use us but they bankrolled so much from Asian countries. The Hypocrisy and the double standard showed by this kind of company is shocking!! And yeah im side eyeing you too the game company who made the series of emily delicious and wedding games.",1,english
Sudah bayar dan langganan tapi dibilang akun tidak ditemukan. Wth!?,1,indonesian
Baru saja bayar disney setelah 3 hari pake dan log out dan login lagi malah di suruh bayar lagi aneh,2,indonesian
i love anything aboout disney and princesss!!!! i looveeee this app so so SOOOOOooooO much! even though im 18 yo rn… i still want to meet my prince charming jusst likeee all of disneeys pyincess :3:3,5,english
"login di 3 device tapi nontonnya cuma pake 1 device, tbtb error anj gabisa ketonton ktnya error blablabla, gw bayar anj bukan ngehack, gmn sih disney tolol apaya, 65rb gw jd sia sia tai, yg bener lah anj ngasih kebijakannya tai, ini login doang gbs nonton buat apa babi, modern family gw udh 3 season tp malah gbs nonton emg anjinkkkk",1,indonesian
Jelek,1,unclear
"I’ve already logged out my account from other devices, but still can’t play a movie or a series. It says “Too many people are using your account right now”. What a pathetic capitalism app is this?",1,english
Tidak bisa menonton konten dengan alasan jaringan padahal jaringan kuat selalu di suruh coba lagi,2,indonesian
"I have already paid for the subscription and registered an account, but I was not immediately logged into the app. Instead, it took me back to the initial registration process. When I entered my phone number, instead of receiving an OTP, I got an unclear incoming call. This is truly a scam.",1,english
"how do i subs with gopay, it's so difficult and annoying, it's says that i've already link the number so i cannot use my number but it's still the same number that i use for gopay and disney🤦🏾‍♂️",2,english
bikin ga mood aja mau nonton masukin nomer kode otp ga muncul2 berkali2 request huf sebel,1,indonesian
"Jelek banget, masa pake wifi gak bisa. Keterangannya harus matiin vpn. Lagian siapa yang pake vpn. Netflix aja bisa ko. Aplikasi ribet",2,indonesian
"Subscribed to premium annual..at first it run smoothly, but then after a few months i couldn’t login with new devices anymore (hasn’t exceeded 10 devices limit yet)..customer support doesn’t help, making it even worse instead (the app doesn’t even recognize my number anymore after i reported my problem)..",2,english
"I have 2 phones, 1 phone’s disney+ app cannot be used anymore once I travel. As for the other phone, I used e-sim & it somehow detected I’m abroad and cannot be used anymore, too. Then, I cannot log back in as it said my phone number is not subscribed, but when I check my subscription in my apple account, all subscriptions are still valid!

I paid for the whole year & I managed to only use for a month as I travel quite a bit. Now I only use netflix & diney+ is just wasting..",1,english
"Metode pembayaran sangat ribet, mempersulit",2,indonesian
"kode OTPnya mane woyyy, mau duit kagak",1,unclear
I feel very disappointed because every time I download it offline and two days later the download that I crossed got ios error code 42800 and the movie expired.,2,english
Why i cant get my otp code?,2,english
Copy paste,1,unclear
Error http_473 padahal gak connect vpn sama sekali,1,indonesian
Main potong saldo tanpa pemberitahuan!,1,unclear
"I just renew my subscription. But why i can’t access in. It tells me connection error, but nothing’s wrong with my connection. Why?",3,english
what kemahalan sekli berlanganan 799 mendin beli seblak,1,english
Make subtitle more large maybe. Or maybe like prime video settings.,2,unclear
I keep miss touch the feature. like brightness or volume feature. stupid. and the screen keep being lock again and again,2,english
Stop funding israel. You literally exist to give hopes to children of the world and yet you sent billions to kill the children of Palestine. Such a hypocrite.,1,english
Kita hanya bisa akses lewat nomor hp tidak ada alternatif lain seperti email atau apa pun itu,1,indonesian
This is the last pay on my credit and have been uninstal forever,1,english
Can not Connect tv,1,english
"Shame on You, uninstall!!",1,unclear
Bad company,1,unclear
"U pro Israel, i uninstall and rate 1",1,english
Shame on you! We will remember! Never forgive!,1,english
"Duh Disney+ sering banget ga bisa download film pake cellular data untuk ditonton offline. Mana film yang nambah film jadul semua, mau download juga ga bisa. Jelek banget appsnya.",1,indonesian
making children movies to murder children,1,unclear
Your hand is full with blood of gaza people. I wish all those happen to you and your family bob iger. Because you deserve much worst life than Gazapeople have.,1,english
Making movies for kids but supporting terrorists who kill children in daily basis. Never watch again. Never subscribe again. May you rot and bankrupt.,1,english
Zionist👎🏼,1,unclear
Never support a thing that support a children murder!,1,english
"Bikin film utk anak anak, tp malah membunuh anak anak di palestine",1,indonesian
"100 tahun membuat karya untuk menghibur anak2, sekarang malah mendukung pembantaian anak2 palestina oleh IDF 😡",1,indonesian
"tidak bagus, tidak banyak genre film yg bagus",5,indonesian
"[just stay with netflix or other competitors, at least they are being honest]

Basically this company will raise your subscription fee from 199k to 799k/annual and user may cancel the subs if we can send notification 1 day prior due date, which is totally fine. 

Problem is they send this info to user not 1-2 days prior due date but ON THE SAME DAY ?! how we supposed to know, have time to consider & cancel the subs if we want to ? 

Is this your hacky way to scam your customer for higher revenue ? lol its not very ethical, its very shameful. Will definitely stop the subs & not recommend this to anyone.",1,english
Something went wrong that told,1,english
Why did you make it so complicated when j want to stop my subscription. The price change drastically from 200k IDR to 800k IDR,1,english
this app is made for kids but why you funding israel to KILL KIDS?!?!?!?!?!? i hope u rotten in jahannam,1,english
gajelas biasanya 39rb ini jadi 119rb perbulan??? lu gajelas,1,indonesian
Ga suka aja,1,indonesian
The movie collection is not so good and the number is little.,1,english
It isn’t stay for humanity,1,unclear
uninstall!!!!,1,unclear
Uninstall !! Go to hell !,1,unclear
I don't want to use products that support genocide,1,english
I do not recommend you to use this application for many reasons,1,english
Shame on you,1,unclear
udah instal kok gak bisa dibuka ya,1,indonesian
"Failed to download, so may times.",1,english
"Shame on you, application for children that support genocide",1,english
"Uninstall, aku lebih milih nonton loki di website ilegal! Saya bersama palestine!!!",1,indonesian
👎🏻👎🏻👎🏻👎🏻👎🏻 disappointed,1,unclear
Bad app,1,unclear
"I try to find a movie that I checked that I could watch on this app, but always says it’s not here, I don’t know how I can fix it??",3,english
"Creating dreams for children, but instead financing and funding the murder of thousands of children. You are not human. You just need our money to kill them! Inhumanity!",1,english
Jangan download,1,unclear
Never use this app again….i stand for palestine,1,english
Skr jd malas langganan krn mahal,1,unclear
do it,1,unclear
Ternyata support isriwil,1,unclear
Genocides support👎🏻 Shame on you! You are murderer!,1,english
"I pay already but i cant waching, need subscribe i try to subscribe but cant, the notification is i did’t member but i already pay . How can liket this ?",1,english
Un install dri hp saya,1,indonesian
You murd*rer child. Didn't you suppose to make every children happy? Didn't you suppose to make a good memories with every children in the world?!,1,english
Realy dissapointed the studio i used to growth with now start becomes an LGBTQ+ propaganda for the kids…,1,english
No thanks.,1,unclear
"Kualitas jelek, mending netflix. Mana lu nyumbang buat zionis bunuh warga2 palestina lagi. Rasain Awal2 kehancuran lu",1,unclear
"👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 genocides support, Disnep you’re children’s murderer !!!",1,unclear
Donatur pembunuhan,1,unclear
Aplikasi yang Mendukung pembunuhan anak-anak sangat tidak rekomended,1,indonesian
"Shame on you disney, pendukung israhell",1,unclear
Good Bye,1,unclear
think about children in Palestine,1,unclear
Bnyak mempoduksi film animasi tapi donasi dan mendukung pembunuhan anak-anak!,1,indonesian
"Kurang menarik, semoga ada paketan yg lebih seru",1,indonesian
"Banyak review bisa nobar group, nyatanya gak ada",1,indonesian
"Disney donation to israel, the country do kill to children in palestine",1,english
Jelek channel gak komplit gambar rusak. mending nonton tv tabung,1,unclear
Shame on you disney..!,1,unclear
Apk tai,1,unclear
"maaf saya logout, #savepalestine",1,indonesian
"Kebanyakan stop sendiri, yoweslah msh byk lainnya",1,unclear
"100 years of creating works to entertain children, but now I'm giving aid to countries that kill children",1,english
"100 tahun bikin film buat menghibur anak anak, malah ngirim donasi buat orang yang bantai anak anak",1,indonesian
Shame on you!,1,unclear
